=== 뽑기 개수 미파악 (prizes는 있으나 count 없음) — 재스크랩 대상 (1367건) ===
slug,title,출시연월,prize_count,등급수,count있음,count없음,등급목록,url
"kirby20","Ichibankuji Kirby Comic Kirby & Friends","2023-10","8","8","0","8","       ","https://1kuji.com/products/kirby20"
"minions9","一番くじ ミニオンズ BOB＆TIM","2023-10","7","6","0","6","A賞 B賞 C賞 D賞 E賞 F賞","https://1kuji.com/products/minions9"
"kimetsu20","Ichibankuji DEMON SLAYER: KIMETSU NO YAIBA: Kimetsu no Yaiba - Bonds of Fate","2023-10","8","7","0","7","A賞 B賞 C賞 D賞 E賞  ","https://1kuji.com/products/kimetsu20"
"onep81","Ichibankuji ONE PIECE Emotional Stories 2","2023-10","10","10","0","10","         ","https://1kuji.com/products/onep81"
"hololive3","一番くじ ホロライブ vol.3","2023-09","14","13","0","13","            ","https://1kuji.com/products/hololive3"
"seventeen2","一番くじ PetiTEEN from SEVENTEEN","2023-09","6","5","0","5","    ","https://1kuji.com/products/seventeen2"
"db_z4","Ichibankuji Dragon Ball Clash!! Battle for Space","2023-09","9","9","0","9","        ","https://1kuji.com/products/db_z4"
"myhero31","Ichibankuji MY HERO ACADEMIA VS","2023-09","10","10","0","10","         ","https://1kuji.com/products/myhero31"
"lycoris-recoil_02","一番くじ リコリス・リコイル","2023-09","7","6","0","6","A賞 B賞 C賞 D賞 E賞 F賞","https://1kuji.com/products/lycoris-recoil_02"
"disney_ps9","Ichibankuji <Disney Princess> Blooming Melodies","2023-09","8","8","0","8","       ","https://1kuji.com/products/disney_ps9"
"bt21_10","一番くじ BT21 ART 5th Anniversary","2023-08","8","7","0","7","A賞 B賞 C賞 D賞 E賞 F賞 G賞","https://1kuji.com/products/bt21_10"
"onep80","이치 반 쿠지 원피스 BEYOND THE LEVEL","2023-08","9","9","0","9","        ","https://1kuji.com/products/onep80"
"kimetsu19","이치 반 쿠지 DEMON SLAYER: KIMETSU NO YAIBA ~습격~","2023-08","7","6","0","6","A賞 B賞 C賞  E賞 ","https://1kuji.com/products/kimetsu19"
"haikyu26","Ichibankuji HAIKYU!!","2023-08","15","15","0","15","              ","https://1kuji.com/products/haikyu26"
"natsume42","Ichibankuji Natsume's Book of Friends NYANKO SENSEI Burger","2023-08","8","8","0","8","       ","https://1kuji.com/products/natsume42"
"godzilla3","一番くじ ゴジラ 大怪獣列伝","2023-07","7","6","0","6","A賞 B賞 C賞 D賞 E賞 F賞","https://1kuji.com/products/godzilla3"
"onep79","이치 반 쿠지 원피스 EX 악마를 머무는 사람들 vol.2","2023-07","8","8","0","8","   D賞 E賞 F賞  ","https://1kuji.com/products/onep79"
"myhero30","Ichibankuji MY HERO ACADEMIA NEXT GENERATIONS! ! 2","2023-07","13","13","0","13","   D賞 E賞 F賞 G賞 H賞 I賞  K賞 L賞 ","https://1kuji.com/products/myhero30"
"db_z3","Ichibankuji Dragon Ball BATTLE ON PLANET NAMEK","2023-07","10","10","0","10","         ","https://1kuji.com/products/db_z3"
"sumikko20","一番くじ すみっコぐらし ～こいぬといぬごっこテーマ～","2023-06","10","9","0","9","A賞 B賞 C賞 D賞 E賞 F賞 G賞 H賞 I賞","https://1kuji.com/products/sumikko20"
"db_ex07","이치 반 쿠지 쿠지 드래곤 볼 EX 카메 센류의 맹자들","2023-06","10","10","0","10","         ","https://1kuji.com/products/db_ex07"
"myhero_o5_2","이치 반 쿠지 내 빌란 아카데미아","2023-06","8","8","0","8","       ","https://1kuji.com/products/myhero_o5_2"
"disney_ps8","Ichibankuji <Disney Princess> Amazing Days","2023-06","8","7","0","7","A賞 B賞 C賞 D賞 E賞  G賞","https://1kuji.com/products/disney_ps8"
"usamaru8","一番くじ うさまる～morning time～","2023-06","9","8","0","8","A賞 B賞 C賞 D賞 E賞 F賞 G賞 H賞","https://1kuji.com/products/usamaru8"
"onep78","Ichibankuji ONE PIECE of Two Wings","2023-06","9","8","0","8","A賞 B賞 C賞 D賞 E賞   H賞","https://1kuji.com/products/onep78"
"kimetsu18","Ichibankuji DEMON SLAYER: KIMETSU NO YAIBA: The Village of Swordsmiths Revealed","2023-06","9","9","0","9","        ","https://1kuji.com/products/kimetsu18"
"db_vsob","一番くじ ドラゴンボール VSオムニバスビースト","2023-05","10","9","5","4","  C賞 D賞 E賞 F賞  H賞 ","https://1kuji.com/products/db_vsob"
"nct","一番くじ NCT127 NEO CITY","2023-05","15","14","0","14","             ","https://1kuji.com/products/nct"
"ireisu","一番くじ いれいす ～いれいすが一番くじに登場！～","2023-05","11","10","0","10","         ","https://1kuji.com/products/ireisu"
"myhero29","Ichibankuji MY HERO ACADEMIA Friends","2023-05","11","11","0","11","          ","https://1kuji.com/products/myhero29"
"bt21_9","一番くじ BT21 VAN PARK","2023-05","7","6","0","6","A賞 B賞 C賞 D賞 E賞 F賞","https://1kuji.com/products/bt21_9"
"onep73_2","Ichibankuji ONE PIECE Emotional Stories","2023-05","10","10","0","10","         ","https://1kuji.com/products/onep73_2"
"nishimura05","一番くじ にしむらゆうじ 〜かため濃いめ油少なめ〜","2023-05","8","7","0","7","      ","https://1kuji.com/products/nishimura05"
"disney_villains","Ichibankuji <Disney Villains > ~Nightmare feast~","2023-04","7","6","0","6","A賞 B賞 C賞 D賞 E賞 F賞","https://1kuji.com/products/disney_villains"
"hololive2","一番くじ ホロライブ vol.2","2023-04","14","13","0","13","            ","https://1kuji.com/products/hololive2"
"onep77","一番くじ ワンピース 難攻不落ノ懐刀","2023-04","10","9","8","1","A賞 B賞 C賞 D賞 E賞 F賞  H賞 I賞","https://1kuji.com/products/onep77"
"myhero27","一番くじ 僕のヒーローアカデミア The way they walk","2023-04","10","10","0","10","         ","https://1kuji.com/products/myhero27"
"g-witch2","FIGURE SPIRITS KUJI 機動戦士ガンダム 水星の魔女 -ガンダムエアリアル-","2023-04","4","3","0","3","A賞 B賞 C賞","https://1kuji.com/products/g-witch2"
"kimetsu17","Ichibankuji DEMON SLAYER: KIMETSU NO YAIBA: Kimetsu no Yaiba ~Let's go to the swordsmith village~","2023-04","8","7","0","7","A賞 B賞 C賞 D賞   G賞","https://1kuji.com/products/kimetsu17"
"rider_o1","一番くじ 仮面ライダー龍騎 ～20th anniversary～","2023-03","7","6","0","6","A賞 B賞 C賞 D賞 E賞 F賞","https://1kuji.com/products/rider_o1"
"5Hanayome11","一番くじ 五等分の花嫁∬ ～思い出の旅路～","2023-03","9","8","0","8","A賞 B賞 C賞 D賞 E賞 F賞 G賞 H賞","https://1kuji.com/products/5Hanayome11"
"tinytan_acce","一番アクセ TinyTAN Butter","2023-03","11","10","0","10","     V賞    ","https://1kuji.com/products/tinytan_acce"
"seventeen","一番くじ SEVENTEEN From PLEDIS ENTERTAINMENT","2023-03","18","17","0","17","                ","https://1kuji.com/products/seventeen"
"usamaru7","一番くじ ちびちびうさまる ～いっしょにあそぼ～","2023-03","8","7","0","7","A賞 B賞 C賞 D賞 E賞 F賞 G賞","https://1kuji.com/products/usamaru7"
"seventeen_tr","とるパカ！ SEVENTEEN From PLEDIS ENTERTAINMENT アクリルスタンド&ステッカー","2023-03","1","1","0","1","","https://1kuji.com/products/seventeen_tr"
"apex","一番くじ APEX LEGENDS™","2023-02","6","5","0","5","A賞 B賞 C賞 D賞 E賞","https://1kuji.com/products/apex"
"bt21_8","一番くじ BT21 GIFT","2023-01","13","12","11","1","A賞 B賞 C賞 D賞 E賞 F賞 G賞 H賞 I賞 J賞 K賞 L賞","https://1kuji.com/products/bt21_8"
"rider_geats","一番くじ 仮面ライダーギーツ with レジェンド仮面ライダー","2023-01","8","7","4","3","A賞 B賞 C賞 D賞 E賞 F賞 G賞","https://1kuji.com/products/rider_geats"
"tokai_onair_02","一番くじ 東海オンエア ～第一回！東海オンエアの一番くじ！！！！～【二次受注販売：2023年1月発送】","2022-12","12","11","0","11","A賞 B賞       D賞 E賞 F賞","https://1kuji.com/products/tokai_onair_02"
"tokai_onair","一番くじ 東海オンエア ～第一回！東海オンエアの一番くじ！！！！～","2022-11","12","11","0","11","A賞 B賞       D賞 E賞 F賞","https://1kuji.com/products/tokai_onair"
"tinytan4","一番くじ TinyTAN Butter","2022-11","13","12","0","12","           ","https://1kuji.com/products/tinytan4"
"lovelive23","一番くじ ラブライブ！虹ヶ咲学園スクールアイドル同好会 秋色RetroModern","2022-10","17","16","10","6","A賞 B賞 C賞 D賞 E賞 F賞 G賞 H賞 I賞 J賞 K賞 L賞 M賞 N賞 O賞 P賞","https://1kuji.com/products/lovelive23"
"nishimura04","一番くじ にしむらゆうじ ～どうぶつ国の歩きかたのやつ～","2022-10","8","7","0","7","      ","https://1kuji.com/products/nishimura04"
